epoch_number,algorithm,mapping,swaps,estimated_fidelity,timestamp,run_id
1,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8511281425450736,2026-07-05T17:27:35.382725+00:00,"Run - Jul 05, 2026 at 22:57:34"
2,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8506832401083618,2026-07-05T17:27:37.747876+00:00,"Run - Jul 05, 2026 at 22:57:34"
3,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8507985648814844,2026-07-05T17:27:38.776858+00:00,"Run - Jul 05, 2026 at 22:57:34"
4,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8507873963514474,2026-07-05T17:27:39.888783+00:00,"Run - Jul 05, 2026 at 22:57:34"
5,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8507535754431298,2026-07-05T17:27:41.261658+00:00,"Run - Jul 05, 2026 at 22:57:34"
6,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8507148737498456,2026-07-05T17:27:46.236769+00:00,"Run - Jul 05, 2026 at 22:57:34"
7,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8506650036821926,2026-07-05T17:27:51.490056+00:00,"Run - Jul 05, 2026 at 22:57:34"
8,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8505989378814889,2026-07-05T17:27:57.191006+00:00,"Run - Jul 05, 2026 at 22:57:34"
9,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.850524869146924,2026-07-05T17:28:01.316109+00:00,"Run - Jul 05, 2026 at 22:57:34"
10,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8504495326191833,2026-07-05T17:28:08.523040+00:00,"Run - Jul 05, 2026 at 22:57:34"
11,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8503990057057709,2026-07-05T17:28:12.955447+00:00,"Run - Jul 05, 2026 at 22:57:34"
12,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8502992675308526,2026-07-05T17:28:17.627842+00:00,"Run - Jul 05, 2026 at 22:57:34"
13,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8502069801834071,2026-07-05T17:28:22.216074+00:00,"Run - Jul 05, 2026 at 22:57:34"
14,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8501109619046863,2026-07-05T17:28:26.783305+00:00,"Run - Jul 05, 2026 at 22:57:34"
15,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8500128082412982,2026-07-05T17:28:31.253183+00:00,"Run - Jul 05, 2026 at 22:57:34"
16,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8499140531754101,2026-07-05T17:28:34.817387+00:00,"Run - Jul 05, 2026 at 22:57:34"
17,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8497895713688435,2026-07-05T17:28:41.056242+00:00,"Run - Jul 05, 2026 at 22:57:34"
18,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8496986332929781,2026-07-05T17:28:44.933335+00:00,"Run - Jul 05, 2026 at 22:57:34"
19,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8496067441082493,2026-07-05T17:28:49.197617+00:00,"Run - Jul 05, 2026 at 22:57:34"
20,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8495126985757864,2026-07-05T17:28:56.383881+00:00,"Run - Jul 05, 2026 at 22:57:34"
21,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8494044135628891,2026-07-05T17:29:02.752357+00:00,"Run - Jul 05, 2026 at 22:57:34"
22,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.84929852420405,2026-07-05T17:29:06.698001+00:00,"Run - Jul 05, 2026 at 22:57:34"
23,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8491977023758811,2026-07-05T17:29:10.722737+00:00,"Run - Jul 05, 2026 at 22:57:34"
24,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8491225365452513,2026-07-05T17:29:15.850626+00:00,"Run - Jul 05, 2026 at 22:57:34"
25,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8490303491656451,2026-07-05T17:29:19.248315+00:00,"Run - Jul 05, 2026 at 22:57:34"
26,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8489838278247165,2026-07-05T17:29:23.638686+00:00,"Run - Jul 05, 2026 at 22:57:34"
27,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8488942119059619,2026-07-05T17:29:30.609673+00:00,"Run - Jul 05, 2026 at 22:57:34"
28,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8488305036097494,2026-07-05T17:29:36.338397+00:00,"Run - Jul 05, 2026 at 22:57:34"
29,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8487523077670255,2026-07-05T17:29:40.574154+00:00,"Run - Jul 05, 2026 at 22:57:34"
30,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8486626217640637,2026-07-05T17:29:45.998213+00:00,"Run - Jul 05, 2026 at 22:57:34"
31,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8485966439044198,2026-07-05T17:29:50.115836+00:00,"Run - Jul 05, 2026 at 22:57:34"
32,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8485238975027337,2026-07-05T17:29:56.826165+00:00,"Run - Jul 05, 2026 at 22:57:34"
33,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8484273127382623,2026-07-05T17:30:03.031992+00:00,"Run - Jul 05, 2026 at 22:57:34"
34,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8483250358590112,2026-07-05T17:30:08.905588+00:00,"Run - Jul 05, 2026 at 22:57:34"
35,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8482156116582126,2026-07-05T17:30:15.529308+00:00,"Run - Jul 05, 2026 at 22:57:34"
36,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8481267494241235,2026-07-05T17:30:19.507129+00:00,"Run - Jul 05, 2026 at 22:57:34"
37,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8480063985339452,2026-07-05T17:30:25.474229+00:00,"Run - Jul 05, 2026 at 22:57:34"
38,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.847890261738897,2026-07-05T17:30:32.283847+00:00,"Run - Jul 05, 2026 at 22:57:34"
39,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8477901339132364,2026-07-05T17:30:37.908039+00:00,"Run - Jul 05, 2026 at 22:57:34"
40,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8476373925322267,2026-07-05T17:30:43.206887+00:00,"Run - Jul 05, 2026 at 22:57:34"
41,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8475203059438781,2026-07-05T17:30:50.672830+00:00,"Run - Jul 05, 2026 at 22:57:34"
42,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8473791678292043,2026-07-05T17:30:56.990090+00:00,"Run - Jul 05, 2026 at 22:57:34"
43,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8472648747007472,2026-07-05T17:31:04.531608+00:00,"Run - Jul 05, 2026 at 22:57:34"
44,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8471553199662661,2026-07-05T17:31:09.015688+00:00,"Run - Jul 05, 2026 at 22:57:34"
45,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8470324849603783,2026-07-05T17:31:14.441272+00:00,"Run - Jul 05, 2026 at 22:57:34"
46,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8469098926180744,2026-07-05T17:31:21.896814+00:00,"Run - Jul 05, 2026 at 22:57:34"
47,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8467779002800251,2026-07-05T17:31:26.390659+00:00,"Run - Jul 05, 2026 at 22:57:34"
48,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8466442938251552,2026-07-05T17:31:30.525265+00:00,"Run - Jul 05, 2026 at 22:57:34"
49,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.846534008695513,2026-07-05T17:31:37.659393+00:00,"Run - Jul 05, 2026 at 22:57:34"
50,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8464113250581323,2026-07-05T17:31:43.601097+00:00,"Run - Jul 05, 2026 at 22:57:34"
51,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8462869623009699,2026-07-05T17:31:48.361594+00:00,"Run - Jul 05, 2026 at 22:57:34"
52,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8462895190149323,2026-07-05T17:31:54.733527+00:00,"Run - Jul 05, 2026 at 22:57:34"
53,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8462958657686591,2026-07-05T17:32:00.696114+00:00,"Run - Jul 05, 2026 at 22:57:34"
54,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8463072277554974,2026-07-05T17:32:07.845032+00:00,"Run - Jul 05, 2026 at 22:57:34"
55,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.846306955993944,2026-07-05T17:32:14.023248+00:00,"Run - Jul 05, 2026 at 22:57:34"
56,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8463508500308412,2026-07-05T17:32:21.131286+00:00,"Run - Jul 05, 2026 at 22:57:34"
57,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '0': 9, '10': 10}",2,0.8463918995507187,2026-07-05T17:32:28.184606+00:00,"Run - Jul 05, 2026 at 22:57:34"
