epoch_number,algorithm,mapping,swaps,estimated_fidelity,timestamp,run_id
1,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.886059083111587,2026-07-14T16:47:24.105502+00:00,"Run - Jul 14, 2026 at 22:17:23"
2,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8856555908436292,2026-07-14T16:47:25.605628+00:00,"Run - Jul 14, 2026 at 22:17:23"
3,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8857601859233984,2026-07-14T16:47:26.562247+00:00,"Run - Jul 14, 2026 at 22:17:23"
4,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.885752026786679,2026-07-14T16:47:27.527894+00:00,"Run - Jul 14, 2026 at 22:17:23"
5,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8857210917528024,2026-07-14T16:47:28.481214+00:00,"Run - Jul 14, 2026 at 22:17:23"
6,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.88568562817367,2026-07-14T16:47:29.457908+00:00,"Run - Jul 14, 2026 at 22:17:23"
7,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8856397654480217,2026-07-14T16:47:30.423399+00:00,"Run - Jul 14, 2026 at 22:17:23"
8,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8855785936094456,2026-07-14T16:47:31.369953+00:00,"Run - Jul 14, 2026 at 22:17:23"
9,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8855096084344578,2026-07-14T16:47:32.446261+00:00,"Run - Jul 14, 2026 at 22:17:23"
10,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8854391877362369,2026-07-14T16:47:33.603032+00:00,"Run - Jul 14, 2026 at 22:17:23"
11,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.885403650389681,2026-07-14T16:47:34.605495+00:00,"Run - Jul 14, 2026 at 22:17:23"
12,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8853070202733824,2026-07-14T16:47:35.588642+00:00,"Run - Jul 14, 2026 at 22:17:23"
13,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8852183804700966,2026-07-14T16:47:36.616735+00:00,"Run - Jul 14, 2026 at 22:17:23"
14,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8851252818626175,2026-07-14T16:47:37.711547+00:00,"Run - Jul 14, 2026 at 22:17:23"
15,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8850293708027306,2026-07-14T16:47:38.721278+00:00,"Run - Jul 14, 2026 at 22:17:23"
16,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8849333457973387,2026-07-14T16:47:39.817990+00:00,"Run - Jul 14, 2026 at 22:17:23"
17,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8847986792615303,2026-07-14T16:47:40.920042+00:00,"Run - Jul 14, 2026 at 22:17:23"
18,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8847040873834923,2026-07-14T16:47:42.039844+00:00,"Run - Jul 14, 2026 at 22:17:23"
19,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8846138981581356,2026-07-14T16:47:43.164726+00:00,"Run - Jul 14, 2026 at 22:17:23"
20,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '0': 3, '4': 4}",1,0.8845191307355387,2026-07-14T16:47:44.315280+00:00,"Run - Jul 14, 2026 at 22:17:23"
