epoch_number,mae,mse,rmse,mape,r2,timestamp
3,33.201328400085046,3296.1386375429183,57.41200778184751,0.9694361584153735,-0.5024719444419956,2026-07-03T15:08:01.166060+00:00
4,33.23284302347677,3276.9720127291303,57.244842673634196,0.9820532829882624,-0.5083527469437035,2026-07-03T15:08:02.099285+00:00
5,33.25608110375745,3257.983925669233,57.07875196313628,0.9870200323143022,-0.5139210878265774,2026-07-03T15:08:02.952289+00:00
6,33.277783172865234,3239.1737431062093,56.91373949325601,0.9897758934916787,-0.5194812438068188,2026-07-03T15:08:03.884040+00:00
7,33.29600882259498,3220.5262680337814,56.749680774730194,0.9914983851945196,-0.5249410978331359,2026-07-03T15:08:04.872827+00:00
8,33.30907122389592,3202.0225792752126,56.58641691497362,0.9926556264299455,-0.5302170499400998,2026-07-03T15:08:05.775419+00:00
9,33.31942344545953,3183.6617489871005,56.42394659173621,0.9934982419436946,-0.5354212035994794,2026-07-03T15:08:07.028856+00:00
10,33.329221337155076,3165.4480300792,56.26231447495917,0.994148415130393,-0.540655608549206,2026-07-03T15:08:08.101856+00:00
11,33.34781041660081,3147.438817391332,56.10203933362256,0.9947099237744315,-0.5463776215820648,2026-07-03T15:08:09.260014+00:00
12,33.34791392990317,3129.451681564799,55.94150231773186,0.995085712192658,-0.5512544922968594,2026-07-03T15:08:10.717541+00:00
13,33.35111014367246,3111.619454910376,55.781891819033675,0.9954113904132131,-0.5563366119123612,2026-07-03T15:08:11.964121+00:00
14,33.35252176460176,3093.904757495593,55.62287980225038,0.9956810198793895,-0.5613842065668164,2026-07-03T15:08:13.068325+00:00
15,33.35296861522597,3076.311659843553,55.46450810963307,0.9959082499144931,-0.566436944816715,2026-07-03T15:08:13.989586+00:00
16,33.35347088788179,3058.8454172488264,55.30682975229033,0.9961058821140991,-0.5715469181991619,2026-07-03T15:08:14.851970+00:00
17,33.34284737580702,3041.3932664172758,55.14882833222548,0.9962494002451636,-0.5761390540170381,2026-07-03T15:08:15.869319+00:00
18,33.34160260157013,3024.1545988207085,54.99231399769161,0.9963981110568532,-0.5812638013052294,2026-07-03T15:08:16.777859+00:00
