epoch_number,algorithm,mapping,swaps,estimated_fidelity,timestamp
1,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9779717114953781,2026-07-03T15:06:40.379045+00:00
2,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9778238287329682,2026-07-03T15:06:41.332156+00:00
3,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9778621676396582,2026-07-03T15:06:42.079991+00:00
4,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9778595957038492,2026-07-03T15:06:42.785431+00:00
5,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9778482581931673,2026-07-03T15:06:43.659549+00:00
6,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9778352701420485,2026-07-03T15:06:44.456994+00:00
7,QHI_Greedy,"{'0': 0, '1': 1}",0,0.977818493091639,2026-07-03T15:06:45.272105+00:00
8,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9777961553194572,2026-07-03T15:06:46.105183+00:00
9,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9777709985756041,2026-07-03T15:06:47.359079+00:00
10,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9777453385165117,2026-07-03T15:06:48.326170+00:00
11,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9777294159127198,2026-07-03T15:06:49.824185+00:00
12,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9776940850930381,2026-07-03T15:06:50.667932+00:00
13,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9776620415662779,2026-07-03T15:06:51.546520+00:00
14,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9776284460666959,2026-07-03T15:06:52.519790+00:00
15,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9775927216072509,2026-07-03T15:06:53.677992+00:00
16,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9775597492085137,2026-07-03T15:06:54.609752+00:00
17,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9775143075588542,2026-07-03T15:06:55.776504+00:00
18,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9774787357336477,2026-07-03T15:06:56.911206+00:00
19,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9774455981702379,2026-07-03T15:06:57.857003+00:00
20,QHI_Greedy,"{'0': 0, '1': 1}",0,0.9774130668727404,2026-07-03T15:06:58.680511+00:00
