epoch_number,mae,mse,rmse,mape,r2,timestamp
3,31.540548893235083,2963.3361246159893,54.43653299592094,0.9677468421937876,-0.5053548891320334,2026-07-03T15:06:42.068385+00:00
4,31.569310453737614,2946.120703331259,54.27817888738769,0.9809953160029353,-0.5112191251112852,2026-07-03T15:06:42.774679+00:00
5,31.590669575209557,2929.0642626171502,54.120830209976916,0.9862451015063104,-0.5167902040066428,2026-07-03T15:06:43.647073+00:00
6,31.610584174256786,2912.1656127091064,53.96448473495421,0.9891594551188403,-0.5223534468451094,2026-07-03T15:06:44.436806+00:00
7,31.627224723752448,2895.411113061404,53.80902445744026,0.9909811829046656,-0.5278167989518441,2026-07-03T15:06:45.254657+00:00
8,31.639000375977933,2878.7838426123603,53.6542993860917,0.9922048667609537,-0.5330967021149746,2026-07-03T15:06:46.050213+00:00
9,31.648225227498056,2862.2828205446094,53.50030673318247,0.9930955306743169,-0.5383054020911877,2026-07-03T15:06:47.304663+00:00
10,31.656933477158727,2845.911679261367,53.34708688636491,0.9937824311332908,-0.5435451065264629,2026-07-03T15:06:48.263332+00:00
11,31.673940509187318,2829.7211156087487,53.195123043459056,0.9943756467262811,-0.5492734983441478,2026-07-03T15:06:49.797540+00:00
12,31.67381633980796,2813.551644106437,53.04292265803645,0.9947731178046455,-0.5541727818200173,2026-07-03T15:06:50.649445+00:00
13,31.676308105413497,2797.51672558808,52.89155627874907,0.995116025572819,-0.5592624108998712,2026-07-03T15:06:51.512993+00:00
14,31.677123221195988,2781.585192240827,52.74073560579931,0.9953995376234829,-0.5643184824340672,2026-07-03T15:06:52.477771+00:00
15,31.675571375845816,2765.7469360922,52.59036923327502,0.9956349124161763,-0.5693025957895572,2026-07-03T15:06:53.653985+00:00
16,31.67590515136358,2750.03721539098,52.440797242137535,0.9958429002687269,-0.5744419444146021,2026-07-03T15:06:54.552583+00:00
17,31.665708926378883,2734.339021567017,52.29090763762871,0.9959930588753972,-0.5790623843232274,2026-07-03T15:06:55.750605+00:00
18,31.66320757417221,2718.816201294669,52.1422688544972,0.9961471379542225,-0.5841540126690405,2026-07-03T15:06:56.875897+00:00
19,31.662563426765413,2703.424194860688,51.994463117342484,0.996285404958469,-0.5894022047541749,2026-07-03T15:06:57.844896+00:00
20,31.662419385753708,2688.14590320237,51.84733265272544,0.996409356397026,-0.5947358327103056,2026-07-03T15:06:58.667518+00:00
