epoch_number,algorithm,mapping,swaps,estimated_fidelity,timestamp
1,QHI_Greedy,"{'1': 0, '2': 1, '0': 2, '3': 3}",2,0.8583909023445988,2026-07-03T15:08:48.638614+00:00
2,QHI_Greedy,"{'1': 0, '2': 1, '0': 2, '3': 3}",2,0.8580959375987057,2026-07-03T15:08:49.828686+00:00
3,QHI_Greedy,"{'1': 0, '2': 1, '0': 2, '3': 3}",2,0.8581724026834691,2026-07-03T15:08:50.688884+00:00
4,QHI_Greedy,"{'1': 0, '2': 1, '0': 2, '3': 3}",2,0.8581670869310773,2026-07-03T15:08:51.497309+00:00
5,QHI_Greedy,"{'1': 0, '2': 1, '0': 2, '3': 3}",2,0.8581444586770147,2026-07-03T15:08:52.398378+00:00
