epoch_number,mae,mse,rmse,mape,r2,timestamp
3,29.87976938638516,2652.3512312185835,51.500982817986916,0.9657895714933661,-0.5074026271813314,2026-07-03T15:05:20.299796+00:00
4,29.905086138528485,2636.956911804094,51.35130876427683,0.9797149709842827,-0.5131942101128297,2026-07-03T15:05:21.047571+00:00
5,29.924590154483763,2621.7041694711784,51.20257971500243,0.9853151277121254,-0.5187516575600675,2026-07-03T15:05:21.850947+00:00
6,29.94273954654304,2606.590604635697,51.05478042882662,0.9884227496495095,-0.5243015216213143,2026-07-03T15:05:22.579095+00:00
7,29.95781582254996,2591.60403148928,50.90779931885958,0.9903643857285376,-0.5297521229092688,2026-07-03T15:05:23.339227+00:00
8,29.968324250773737,2576.7293921477226,50.76149517249982,0.9916678280710762,-0.5350202328777587,2026-07-03T15:05:24.098159+00:00
9,29.97644007398632,2561.9656536436887,50.61586365600896,0.9926158583402559,-0.540217899433135,2026-07-03T15:05:24.834370+00:00
10,29.9840759444224,2547.3158716179028,50.47094086321259,0.993346391323477,-0.5454471754392942,2026-07-03T15:05:25.594381+00:00
11,29.99951720539786,2532.824517371577,50.32717474060686,0.9939771513557054,-0.5511645872792406,2026-07-03T15:05:26.387869+00:00
12,29.999718749712788,2518.356949349007,50.183233747428105,0.994402832227257,-0.5561033526337835,2026-07-03T15:05:27.110582+00:00
13,30.001506067154565,2504.001788794783,50.040001886438645,0.9947654431814749,-0.561184575445093,2026-07-03T15:05:27.906622+00:00
14,30.001724677790225,2489.7369441383767,49.897263894309646,0.9950647194841897,-0.5662333426842225,2026-07-03T15:05:28.652817+00:00
15,30.000502749575034,2475.5599379478176,49.75499912519161,0.9953148619013313,-0.5712555643810968,2026-07-03T15:05:29.641365+00:00
16,29.997974497277024,2461.468996288581,49.613193772307994,0.9955270039046322,-0.576257633033598,2026-07-03T15:05:30.387198+00:00
17,29.987164032326998,2447.400205393816,49.4712058211018,0.9956819952632813,-0.5808340656944577,2026-07-03T15:05:31.145954+00:00
18,29.98651598113048,2433.513136184692,49.33065108210809,0.9958487203731022,-0.5860511206020815,2026-07-03T15:05:31.953314+00:00
19,29.983284649513816,2419.6981365276806,49.190427285475785,0.9959891025708666,-0.5911730666393153,2026-07-03T15:05:32.694446+00:00
20,29.985455219919984,2406.0342183004764,49.051342675817516,0.9961236451877779,-0.596670990065191,2026-07-03T15:05:33.575322+00:00
21,29.97610541366006,2392.347374057614,48.911628209022176,0.9962179341441925,-0.6015387754873167,2026-07-03T15:05:34.334729+00:00
22,29.9647185924111,2378.7291930305896,48.77221742991177,0.996299333937032,-0.6063324964419068,2026-07-03T15:05:35.103804+00:00
23,29.951414388803116,2365.179688858474,48.63311309034693,0.9963678431878787,-0.6110563395599078,2026-07-03T15:05:35.854724+00:00
24,29.95781969164832,2351.960710116335,48.49701753836348,0.996468569510372,-0.6170349050951409,2026-07-03T15:05:36.580595+00:00
25,29.95110985072238,2338.686896095821,48.35997204399337,0.9965367140794265,-0.622265411558957,2026-07-03T15:05:37.583015+00:00
26,29.948131636012405,2325.562767454912,48.22408907853949,0.9966065691525342,-0.6277791262503911,2026-07-03T15:05:38.455712+00:00
27,29.935147973917406,2312.408333274682,48.087507039507486,0.9966530310011987,-0.6327162846104981,2026-07-03T15:05:39.283302+00:00
