epoch_number,mae,mse,rmse,mape,r2,timestamp,run_id
1,,,,,,2026-07-10T16:49:05.679221+00:00,"Run - Jul 10, 2026 at 22:18:59"
2,,,,,,2026-07-10T16:49:10.140584+00:00,"Run - Jul 10, 2026 at 22:18:59"
3,334845.12839450536,331350699282.1944,575630.6969595996,0.9544942603013868,-0.511433411413714,2026-07-10T16:49:11.660919+00:00,"Run - Jul 10, 2026 at 22:18:59"
4,335785.0873688314,329409124128.7488,573941.7428003898,0.9725381936666768,-0.5204141342916642,2026-07-10T16:49:13.576989+00:00,"Run - Jul 10, 2026 at 22:18:59"
5,336624.0898982881,327497930204.6473,572274.3487215264,0.97995336654523,-0.5290626538227807,2026-07-10T16:49:15.682846+00:00,"Run - Jul 10, 2026 at 22:18:59"
6,337437.26957757043,325617249081.66534,570628.8190072995,0.9841010281414191,-0.5377195555815164,2026-07-10T16:49:18.073082+00:00,"Run - Jul 10, 2026 at 22:18:59"
7,338194.92607777147,323764321926.6397,569002.9190844628,0.9867000549403281,-0.5462372595964857,2026-07-10T16:49:20.035013+00:00,"Run - Jul 10, 2026 at 22:18:59"
8,338871.3508586791,321935468566.017,567393.574660497,0.9884441302476887,-0.5544802658135513,2026-07-10T16:49:22.266424+00:00,"Run - Jul 10, 2026 at 22:18:59"
9,339503.8338757031,320131032013.9846,565801.23012767,0.9897093749869227,-0.5626196019935734,2026-07-10T16:49:24.285799+00:00,"Run - Jul 10, 2026 at 22:18:59"
10,340125.01777254266,318352458651.2002,564227.3111532268,0.9906801841880131,-0.5708121289160681,2026-07-10T16:49:26.249287+00:00,"Run - Jul 10, 2026 at 22:18:59"
11,340852.32090531965,316610802679.5657,562681.7952267211,0.991505078457115,-0.5796538242348441,2026-07-10T16:49:28.788194+00:00,"Run - Jul 10, 2026 at 22:18:59"
12,341341.82455247786,314871904174.296,561134.4795806938,0.9920623141097848,-0.5873947062853966,2026-07-10T16:49:31.353236+00:00,"Run - Jul 10, 2026 at 22:18:59"
13,341854.2067809947,313159436999.4014,559606.5019273824,0.9925320251704504,-0.5953499393956501,2026-07-10T16:49:33.736561+00:00,"Run - Jul 10, 2026 at 22:18:59"
14,342336.6424825014,311467267504.20685,558092.5259347296,0.992913542777844,-0.6032461675586971,2026-07-10T16:49:36.420828+00:00,"Run - Jul 10, 2026 at 22:18:59"
15,342796.3860374546,309795439029.1509,556592.7047933263,0.9932274554078252,-0.6111173740043874,2026-07-10T16:49:38.788365+00:00,"Run - Jul 10, 2026 at 22:18:59"
16,343227.1997476966,308142350300.8426,555105.7109243631,0.9934870778789566,-0.6189266329350205,2026-07-10T16:49:41.294338+00:00,"Run - Jul 10, 2026 at 22:18:59"
17,343541.2208262707,306493979770.89386,553618.9842941568,0.9936689276718174,-0.6261921551958274,2026-07-10T16:49:44.268788+00:00,"Run - Jul 10, 2026 at 22:18:59"
18,343992.0172903223,304887355211.87616,552166.0576419707,0.9938606193954753,-0.6342865979042012,2026-07-10T16:49:46.749157+00:00,"Run - Jul 10, 2026 at 22:18:59"
19,344435.8845527401,303301863477.3327,550728.4843526188,0.9940206509599041,-0.6424367059963907,2026-07-10T16:49:49.654549+00:00,"Run - Jul 10, 2026 at 22:18:59"
20,344839.1838621758,301731324431.3095,549300.7595400807,0.994149082048918,-0.6504531444021386,2026-07-10T16:49:52.515538+00:00,"Run - Jul 10, 2026 at 22:18:59"
21,345152.51242610166,300165620770.9176,547873.727031072,0.9942371240634374,-0.6580496442429593,2026-07-10T16:49:55.160386+00:00,"Run - Jul 10, 2026 at 22:18:59"
22,345434.87214104045,298613745597.00165,546455.6208851746,0.9943062018069604,-0.6655488467725255,2026-07-10T16:49:58.323745+00:00,"Run - Jul 10, 2026 at 22:18:59"
23,345729.7182506952,297083434237.9272,545053.6067561861,0.9943617103265177,-0.6731967254504749,2026-07-10T16:50:01.087475+00:00,"Run - Jul 10, 2026 at 22:18:59"
24,346118.82070528134,295591539825.61566,543683.3083934209,0.9944301222959618,-0.6814721427604973,2026-07-10T16:50:04.052273+00:00,"Run - Jul 10, 2026 at 22:18:59"
25,346423.7228758961,294102251757.9732,542311.9505948336,0.994469823471216,-0.6893413006005851,2026-07-10T16:50:07.121659+00:00,"Run - Jul 10, 2026 at 22:18:59"
26,346914.5413040621,292672903478.7227,540992.5170265507,0.994536797286959,-0.6983952005190588,2026-07-10T16:50:10.063546+00:00,"Run - Jul 10, 2026 at 22:18:59"
27,347182.2630924398,291214502534.64386,539642.9398543484,0.9945553426458266,-0.7062118879772217,2026-07-10T16:50:13.527446+00:00,"Run - Jul 10, 2026 at 22:18:59"
28,347628.57402071706,289816415040.74194,538345.99937284,0.9945950189053362,-0.7151864874795033,2026-07-10T16:50:16.163227+00:00,"Run - Jul 10, 2026 at 22:18:59"
29,347900.1123326274,288396655876.6172,537025.7497333039,0.9946073782968832,-0.7231890564823285,2026-07-10T16:50:19.761937+00:00,"Run - Jul 10, 2026 at 22:18:59"
30,348137.3496452773,286986370481.4108,535711.088630253,0.9946073692269668,-0.7310572747167909,2026-07-10T16:50:22.779005+00:00,"Run - Jul 10, 2026 at 22:18:59"
31,348447.4492376851,285612296784.40424,534427.0734014176,0.9946277630590341,-0.7394524107718936,2026-07-10T16:50:26.567144+00:00,"Run - Jul 10, 2026 at 22:18:59"
32,348681.71628925897,284236585127.907,533138.4296108347,0.9948367521670266,-0.7474529625489432,2026-07-10T16:50:29.683801+00:00,"Run - Jul 10, 2026 at 22:18:59"
33,348807.775922344,282848778263.6207,531835.2924201447,0.9951329006671149,-0.7548419157961637,2026-07-10T16:50:33.174110+00:00,"Run - Jul 10, 2026 at 22:18:59"
34,348921.0991421198,281473124932.0486,530540.4083875691,0.9953908047179887,-0.7622116953227098,2026-07-10T16:50:36.590825+00:00,"Run - Jul 10, 2026 at 22:18:59"
35,349011.543769265,280106436859.47327,529250.8260357024,0.9956143572227817,-0.7694951004169057,2026-07-10T16:50:40.554336+00:00,"Run - Jul 10, 2026 at 22:18:59"
36,349180.290507729,278777391756.50256,527993.7421565738,0.9958264931340307,-0.7773444296984406,2026-07-10T16:50:43.924686+00:00,"Run - Jul 10, 2026 at 22:18:59"
37,349246.02797907474,277433825830.8653,526719.8741559552,0.9959981337231362,-0.7845875069885895,2026-07-10T16:50:47.730881+00:00,"Run - Jul 10, 2026 at 22:18:59"
38,349314.55169945926,276105627524.75385,525457.5411246411,0.9961513632229672,-0.7919049784316707,2026-07-10T16:50:51.279801+00:00,"Run - Jul 10, 2026 at 22:18:59"
39,349495.46220278635,274826368772.4417,524238.8470653827,0.9962977464736528,-0.8000238772569699,2026-07-10T16:50:55.568813+00:00,"Run - Jul 10, 2026 at 22:18:59"
40,349511.89497497934,273511358738.82855,522983.1342776061,0.9964082902246701,-0.8071113951227684,2026-07-10T16:50:58.857335+00:00,"Run - Jul 10, 2026 at 22:18:59"
41,349605.40623096755,272234566039.53964,521761.02387926565,0.9965158605707071,-0.8147685490454097,2026-07-10T16:51:03.167186+00:00,"Run - Jul 10, 2026 at 22:18:59"
42,349653.9488572825,270957581271.73276,520535.859736611,0.9966055827801639,-0.8221797767899623,2026-07-10T16:51:06.991517+00:00,"Run - Jul 10, 2026 at 22:18:59"
43,349796.7903764498,269725570054.9717,519351.10479806596,0.9966940924365258,-0.8302886716228057,2026-07-10T16:51:11.130890+00:00,"Run - Jul 10, 2026 at 22:18:59"
44,350015.1441121593,268533814517.95953,518202.4840908808,0.9967740403254286,-0.8389803117384256,2026-07-10T16:51:15.895453+00:00,"Run - Jul 10, 2026 at 22:18:59"
45,350104.77071114094,267313590679.80618,517023.7815418225,0.9968397629528006,-0.8468505392902952,2026-07-10T16:51:20.081415+00:00,"Run - Jul 10, 2026 at 22:18:59"
46,350219.88699580135,266116255208.1343,515864.5706075717,0.9968969785808113,-0.8549561888403281,2026-07-10T16:51:24.954874+00:00,"Run - Jul 10, 2026 at 22:18:59"
47,350262.67172724265,264907479665.38522,514691.6355113858,0.996943732693586,-0.8626134520966664,2026-07-10T16:51:28.740875+00:00,"Run - Jul 10, 2026 at 22:18:59"
48,350259.10832794645,263695333795.3742,513512.7396621959,0.9969826074516551,-0.8699954468721842,2026-07-10T16:51:33.414282+00:00,"Run - Jul 10, 2026 at 22:18:59"
49,350382.7873575888,262542289309.00223,512388.8067756772,0.9970224049701454,-0.8783316593898451,2026-07-10T16:51:37.642820+00:00,"Run - Jul 10, 2026 at 22:18:59"
50,350470.77344000374,261390000927.18027,511263.142547143,0.9970526042660879,-0.886471941046868,2026-07-10T16:51:41.987786+00:00,"Run - Jul 10, 2026 at 22:18:59"
51,350478.99660566874,260221142019.02,510118.7528595866,0.9970755825744677,-0.8940930759009302,2026-07-10T16:51:46.592568+00:00,"Run - Jul 10, 2026 at 22:18:59"
52,351356.55884808296,259398806507.956,509312.09146058565,0.9971317426688147,-0.9080824943395303,2026-07-10T16:51:50.898787+00:00,"Run - Jul 10, 2026 at 22:18:59"
53,352217.3256118242,258595804807.88754,508523.1605422584,0.9971832245571131,-0.9220914786297878,2026-07-10T16:51:55.554074+00:00,"Run - Jul 10, 2026 at 22:18:59"
54,353139.7931852398,257843508221.74942,507782.93415764713,0.99722976946047,-0.9366956033161993,2026-07-10T16:52:00.032200+00:00,"Run - Jul 10, 2026 at 22:18:59"
55,354001.10792175867,257092295656.07843,507042.696087892,0.9972677091897558,-0.9509868960072247,2026-07-10T16:52:04.881422+00:00,"Run - Jul 10, 2026 at 22:18:59"
56,355068.53934557084,256454795673.45322,506413.6606307666,0.9973130443549936,-0.9669625468639738,2026-07-10T16:52:09.590579+00:00,"Run - Jul 10, 2026 at 22:18:59"
57,356055.3381097504,255811410703.12933,505778.025128741,0.9973522495571961,-0.9824808348892351,2026-07-10T16:52:14.255960+00:00,"Run - Jul 10, 2026 at 22:18:59"
58,356897.70016840025,255130576226.49088,505104.5201010291,0.9973800194005427,-0.9970361972698822,2026-07-10T16:52:18.895823+00:00,"Run - Jul 10, 2026 at 22:18:59"
59,357739.36691214895,254473952045.69412,504454.11292375653,0.997404909675431,-1.011707495955017,2026-07-10T16:52:23.768425+00:00,"Run - Jul 10, 2026 at 22:18:59"
60,358629.3390872142,253864486807.13458,503849.66687210836,0.9974306394029518,-1.0268705210984534,2026-07-10T16:52:28.532369+00:00,"Run - Jul 10, 2026 at 22:18:59"
61,359479.13601683336,253260960436.4689,503250.3953664308,0.9974538232630247,-1.0418390637335855,2026-07-10T16:52:33.370044+00:00,"Run - Jul 10, 2026 at 22:18:59"
62,360419.0692444602,252726009101.3025,502718.6182162965,0.9974792285001279,-1.0576255119298121,2026-07-10T16:52:38.372184+00:00,"Run - Jul 10, 2026 at 22:18:59"
63,361261.99615013466,252168394723.5667,502163.71306932037,0.9975122207965935,-1.072761783077143,2026-07-10T16:52:43.519094+00:00,"Run - Jul 10, 2026 at 22:18:59"
64,362130.8542312665,251647934959.09286,501645.2281833177,0.9976048768728623,-1.0882055314687302,2026-07-10T16:52:48.807260+00:00,"Run - Jul 10, 2026 at 22:18:59"
65,362991.27885515284,251147372756.3801,501146.05930445076,0.9976895885180442,-1.1036813247819257,2026-07-10T16:52:53.980424+00:00,"Run - Jul 10, 2026 at 22:18:59"
66,363909.58846431883,250701708616.88297,500701.2169117257,0.9977698911695819,-1.1197132541358639,2026-07-10T16:52:59.220352+00:00,"Run - Jul 10, 2026 at 22:18:59"
67,364648.1264093846,250183549549.23697,500183.515871162,0.9978384739569507,-1.1343934069875536,2026-07-10T16:53:04.830240+00:00,"Run - Jul 10, 2026 at 22:18:59"
68,365429.26662525785,249710263155.37744,499710.17915925774,0.9979019844827323,-1.1494927983926528,2026-07-10T16:53:10.307666+00:00,"Run - Jul 10, 2026 at 22:18:59"
69,366241.66824343207,249276686907.4028,499276.16296735295,0.997961983654724,-1.1649176437583488,2026-07-10T16:53:15.691776+00:00,"Run - Jul 10, 2026 at 22:18:59"
70,367044.61244907865,248860320346.80188,498859.01850803685,0.9980175786460858,-1.180334957767906,2026-07-10T16:53:20.894563+00:00,"Run - Jul 10, 2026 at 22:18:59"
71,367695.1339160878,248377780621.1489,498375.14045260014,0.9980653853409788,-1.1945751731062098,2026-07-10T16:53:26.224039+00:00,"Run - Jul 10, 2026 at 22:18:59"
72,368541.7436956001,248030166649.75272,498026.27104376,0.9981112865479509,-1.2104666866949052,2026-07-10T16:53:30.794118+00:00,"Run - Jul 10, 2026 at 22:18:59"
73,369313.74643792264,247660801359.72205,497655.3037592607,0.9981533875154277,-1.2258012147970572,2026-07-10T16:53:39.809572+00:00,"Run - Jul 10, 2026 at 22:18:59"
74,370208.0829266461,247387328636.95193,497380.4666821486,0.9981955729130251,-1.2421818229797377,2026-07-10T16:53:46.139905+00:00,"Run - Jul 10, 2026 at 22:18:59"
75,370958.0219124354,247047999621.54593,497039.2334831788,0.998231380544495,-1.2574212882197764,2026-07-10T16:53:52.872389+00:00,"Run - Jul 10, 2026 at 22:18:59"
76,371955.2599627672,246884940442.64194,496875.1759170928,0.9982666881765876,-1.2747197059491673,2026-07-10T16:53:58.519432+00:00,"Run - Jul 10, 2026 at 22:18:59"
77,372793.9716278613,246646021135.2509,496634.6958633185,0.9982976171718954,-1.2907446171470736,2026-07-10T16:54:04.076569+00:00,"Run - Jul 10, 2026 at 22:18:59"
78,373573.7518692948,246391066083.39542,496377.94681411405,0.9983251973336109,-1.3063043269608348,2026-07-10T16:54:09.990304+00:00,"Run - Jul 10, 2026 at 22:18:59"
79,374378.8906724089,246173752139.2553,496158.9988494165,0.9983507679281431,-1.322082852596755,2026-07-10T16:54:15.802666+00:00,"Run - Jul 10, 2026 at 22:18:59"
80,375095.2463918031,245918401768.5701,495901.6049263907,0.9983720156625121,-1.3371395730503353,2026-07-10T16:54:21.885066+00:00,"Run - Jul 10, 2026 at 22:18:59"
81,375914.120694423,245752051201.9602,495733.8511761732,0.9983934630022296,-1.3530312179785593,2026-07-10T16:54:27.639887+00:00,"Run - Jul 10, 2026 at 22:18:59"
82,376723.6239756182,245600725811.25146,495581.2000179703,0.9984128272901202,-1.3688333167730495,2026-07-10T16:54:33.848524+00:00,"Run - Jul 10, 2026 at 22:18:59"
83,377496.5386930905,245444952792.2562,495424.0131364811,0.9984300819439983,-1.3843191652273545,2026-07-10T16:54:40.651313+00:00,"Run - Jul 10, 2026 at 22:18:59"
84,378073.189503383,245171087632.13266,495147.54127646907,0.9984437922863175,-1.3981892631973025,2026-07-10T16:54:46.957544+00:00,"Run - Jul 10, 2026 at 22:18:59"
85,378824.83881316567,245038787860.9159,495013.9269363195,0.9984572696964885,-1.4134493280760734,2026-07-10T16:54:58.830455+00:00,"Run - Jul 10, 2026 at 22:18:59"
86,379594.0606252718,244938883269.8574,494913.00575945404,0.9984702996393999,-1.4288111574466047,2026-07-10T16:55:19.622753+00:00,"Run - Jul 10, 2026 at 22:18:59"
87,380456.1635113235,244926897198.0886,494900.8963399527,0.998483620531749,-1.4448680909795542,2026-07-10T16:55:34.961310+00:00,"Run - Jul 10, 2026 at 22:18:59"
88,381180.8418911146,244834480775.38397,494807.51891557185,0.9984945437329863,-1.4597668198297766,2026-07-10T16:55:41.597026+00:00,"Run - Jul 10, 2026 at 22:18:59"
89,382069.4607487405,244884154446.3753,494857.71131343936,0.9985056675030044,-1.475901123168418,2026-07-10T16:55:47.850260+00:00,"Run - Jul 10, 2026 at 22:18:59"
90,382864.01316197024,244884069865.1062,494857.62585324096,0.9985145585847774,-1.4912107808663242,2026-07-10T16:55:54.790016+00:00,"Run - Jul 10, 2026 at 22:18:59"
91,383673.1679635232,244915272988.5028,494889.15222350834,0.998523348993811,-1.5065483463428682,2026-07-10T16:56:01.190432+00:00,"Run - Jul 10, 2026 at 22:18:59"
92,384466.1616808452,244953982948.93173,494928.26040642674,0.9985313284146665,-1.5216656847006327,2026-07-10T16:56:07.571211+00:00,"Run - Jul 10, 2026 at 22:18:59"
93,385253.52928246616,245007930859.10327,494982.7581432542,0.9985383166175766,-1.536638310469392,2026-07-10T16:56:14.512680+00:00,"Run - Jul 10, 2026 at 22:18:59"
94,386015.0185141072,245060768659.56406,495036.1286406923,0.998545073535135,-1.5513031802523312,2026-07-10T16:56:21.228456+00:00,"Run - Jul 10, 2026 at 22:18:59"
95,386766.4759158892,245124544040.89822,495100.5393260022,0.9985705324780103,-1.5657755774897741,2026-07-10T16:56:27.714955+00:00,"Run - Jul 10, 2026 at 22:18:59"
96,387476.9888625053,245173550850.82324,495150.02862851904,0.9986002435734004,-1.579820121813186,2026-07-10T16:56:33.618735+00:00,"Run - Jul 10, 2026 at 22:18:59"
97,388165.7582716992,245222449545.54297,495199.40382187755,0.9986283588030082,-1.5935799548221374,2026-07-10T16:56:41.164328+00:00,"Run - Jul 10, 2026 at 22:18:59"
