epoch_number,algorithm,mapping,swaps,estimated_fidelity,timestamp,run_id
1,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '10': 9, '11': 10, '12': 11, '13': 12, '14': 13, '15': 14, '16': 15, '17': 16, '18': 17, '19': 18, '20': 19, '21': 20, '22': 21, '23': 22, '0': 23, '24': 24}",2,0.7735451091441903,2026-07-10T16:49:06.085558+00:00,"Run - Jul 10, 2026 at 22:18:59"
2,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '10': 9, '11': 10, '12': 11, '13': 12, '14': 13, '15': 14, '16': 15, '17': 16, '18': 17, '19': 18, '20': 19, '21': 20, '22': 21, '23': 22, '0': 23, '24': 24}",2,0.7725577195427131,2026-07-10T16:49:10.297518+00:00,"Run - Jul 10, 2026 at 22:18:59"
3,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '10': 9, '11': 10, '12': 11, '13': 12, '14': 13, '15': 14, '16': 15, '17': 16, '18': 17, '19': 18, '20': 19, '21': 20, '22': 21, '23': 22, '0': 23, '24': 24}",2,0.7728135932205857,2026-07-10T16:49:11.818461+00:00,"Run - Jul 10, 2026 at 22:18:59"
4,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '10': 9, '11': 10, '12': 11, '13': 12, '14': 13, '15': 14, '16': 15, '17': 16, '18': 17, '19': 18, '20': 19, '21': 20, '22': 21, '23': 22, '0': 23, '24': 24}",2,0.772786369708005,2026-07-10T16:49:13.837682+00:00,"Run - Jul 10, 2026 at 22:18:59"
5,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '10': 9, '11': 10, '12': 11, '13': 12, '14': 13, '15': 14, '16': 15, '17': 16, '18': 17, '19': 18, '20': 19, '21': 20, '22': 21, '23': 22, '0': 23, '24': 24}",2,0.7727113423891864,2026-07-10T16:49:16.400897+00:00,"Run - Jul 10, 2026 at 22:18:59"
6,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '10': 9, '11': 10, '12': 11, '13': 12, '14': 13, '15': 14, '16': 15, '17': 16, '18': 17, '19': 18, '20': 19, '21': 20, '22': 21, '23': 22, '0': 23, '24': 24}",2,0.772625447294857,2026-07-10T16:49:18.247869+00:00,"Run - Jul 10, 2026 at 22:18:59"
7,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '10': 9, '11': 10, '12': 11, '13': 12, '14': 13, '15': 14, '16': 15, '17': 16, '18': 17, '19': 18, '20': 19, '21': 20, '22': 21, '23': 22, '0': 23, '24': 24}",2,0.7725146788397058,2026-07-10T16:49:20.254249+00:00,"Run - Jul 10, 2026 at 22:18:59"
8,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '10': 9, '11': 10, '12': 11, '13': 12, '14': 13, '15': 14, '16': 15, '17': 16, '18': 17, '19': 18, '20': 19, '21': 20, '22': 21, '23': 22, '0': 23, '24': 24}",2,0.772367767695145,2026-07-10T16:49:22.480270+00:00,"Run - Jul 10, 2026 at 22:18:59"
9,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '10': 9, '11': 10, '12': 11, '13': 12, '14': 13, '15': 14, '16': 15, '17': 16, '18': 17, '19': 18, '20': 19, '21': 20, '22': 21, '23': 22, '0': 23, '24': 24}",2,0.7722029205989676,2026-07-10T16:49:24.466027+00:00,"Run - Jul 10, 2026 at 22:18:59"
10,QHI_Greedy,"{'1': 0, '2': 1, '3': 2, '4': 3, '5': 4, '6': 5, '7': 6, '8': 7, '9': 8, '10': 9, '11': 10, '12': 11, '13': 12, '14': 13, '15': 14, '16': 15, '17': 16, '18': 17, '19': 18, '20': 19, '21': 20, '22': 21, '23': 22, '0': 23, '24': 24}",2,0.7720351765689009,2026-07-10T16:49:26.487133+00:00,"Run - Jul 10, 2026 at 22:18:59"
